Key,Type,Priority,Ko,En
SaintName,1,1,성녀,Holy Maiden
SaintMap1TT1,1,1,용사님!\n들리실까요..?,Hero!\nCan you hear me..?
SaintMap1TT2,1,1,이건 저의 텔레파시에요..\n전투가 시작되기 전에 도움을 드릴게요,This is my telepathy..\nI'll help you before the battle begins
SaintMap1TT3,1,1,전투가 시작되고 얼마 지나지 않아 적들이 몰려올 거에요..,Shortly after the battle starts{COMMA} enemies will swarm in..
SaintMap1TT4,1,1,계속 회피하시고 맞서서셔 경험치를 얻고 강해지셔야 해요!,Keep dodging and fighting to gain experience and become stronger!
SaintMap2TT1,1,1,지금 용사님이 계신 곳은 바람부는 평원이에요..,The place where you are now{COMMA} Hero{COMMA} is the Windy Plains..
SaintMap2TT2,1,1,원래는 작은 동물밖에 없는 한적한 평원이었지만\n최근 들어 고블린들이 횡포를 부리고 있죠..,It was originally a quiet plain with only small animals\nbut recently goblins have been running rampant..
SaintMap2TT3,1,1,워그드라실의 숲까지 가려면 이 길을 꼭 지나셔야 해요,You must pass through this path to reach the Forest of Yggdrasil
SaintMap2TT4,1,1,다행이도 이 지역은 따로 유의하실 부분이 없습니다,Fortunately{COMMA} there are no particular areas to be cautious about in this region
SaintMap2TT5,1,1,저는 이만 물러갑니다.. 용사님의 강함을 믿습니다!!,I shall withdraw now.. I believe in your strength{COMMA} Hero!!
